Codigo	Comunidad	Number of assets
AN	Andalucía	667
AR	Aragón	46
AS	Asturias	29
CB	Cantabria	27
CE	Ceuta	242
CL	Castilla y León	36
CM	Castilla-La Mancha	56
CN	Canarias	175
CT	Cataluña	103
EX	Extremadura	23
GA	Galicia	93
LO	La Rioja	10
MD	Madrid	260
MU	Murcia	63
NA	Navarra	27
PM	Islas Baleares	38
PV	País Vasco	31
VC	Valenciana	86
