Code	Region	Number of assets	Value of assets
E12000001	North East	107	2234938
E12000002	North West	122	2649748
E12000003	Yorkshire and The Humber	145	3393323
E12000004	East Midlands	82	2338623
E12000005	West Midlands	81	2502072
E12000006	East of England	88	2539898
E12000007	London	778	179632316
E12000008	South East	204	6453657
E12000009	South West	41	353170
W92000004	Wales	60	274426
