Id	Country	Number of assets	Value of assets	Reference period	Source
FR	France	18982	382000000	Average 2011-2013	AGRASC
DE	Germany	NA	251020000	2014	Bundeskriminalamt
IT	Italy	3649	1615500000	Average 2011-2015	Ministero degli Interni and ANBSC
ES	Spain	2013	46008600	Assets: 2013 - Value: 2014	Plan Nacional Sobre Drogas
UK	United Kingdom	13255	412455000	April 2014 - March 2015	Ministry of Justice and HM Courts and Tribunal Service
