Code	Region	Number of assets	Value of assets
A	Alsace	7	2600000
B	Aquitaine	27	4800000
C	Auvergne	4	1200000
P	Basse-Normandie	5	1300000
D	Bourgogne	10	1000000
E	Bretagne	23	1800000
F	Centre	6	3500000
G	Champagne-Ardenne	12	1300000
H	Corse	3	500000
I	Franche-Comté	6	1200000
Q	Haute-Normandie	13	1700000
J	Ile-de-France	138	63500000
K	Languedoc-Roussillon	7	5000000
L	Limousin	17	800000
M	Lorraine	24	4000000
N	Midi-Pyrénées	34	2700000
O	Nord-Pas-de-Calais	55	9400000
R	Pays de la Loire	6	1100000
S	Picardie	5	1300000
T	Poitou-Charentes	12	800000
U	Provence-Alpes-Cote d'Azur	32	15700000
V	Rhone-Alpes	54	10000000
